y_over_delta potential_temp mixing_data u_mean v_mean
0.0 300.0 0.0 0.0 0.0
0.00030118 300.0 0.0 0.053639 0.0
0.0012045 300.0 0.0 0.21443 0.0
0.0027095 300.0 0.0 0.48197 0.0
0.0048153 300.0 0.0 0.85555 0.0
0.0075205 300.0 0.0 1.3339 0.0
0.010823 300.0 0.0 1.9148 0.0
0.014722 300.0 0.0 2.5939 0.0
0.019215 300.0 0.0 3.3632 0.0
0.024298 300.0 0.0 4.2095 0.0
0.029969 300.0 0.0 5.1133 0.0
0.036224 300.0 0.0 6.0493 0.0
0.04306 300.0 0.0 6.9892 0.0
0.050472 300.0 0.0 7.9052 0.0
0.058456 300.0 0.0 8.7741 0.0
0.067007 300.0 0.0 9.579 0.0
0.07612 300.0 0.0 10.311 0.0
0.08579 300.0 0.0 10.967 0.0
0.096011 300.0 0.0 11.55 0.0
0.10678 300.0 0.0 12.065999999999999 0.0
0.11808 300.0 0.0 12.52 0.0
0.12991 300.0 0.0 12.921 0.0
0.14227 300.0 0.0 13.276 0.0
0.15515 300.0 0.0 13.59 0.0
0.16853 300.0 0.0 13.87 0.0
0.18242 300.0 0.0 14.120999999999999 0.0
0.19679 300.0 0.0 14.349 0.0
0.21165 300.0 0.0 14.557 0.0
0.22699 300.0 0.0 14.75 0.0
0.24279 300.0 0.0 14.931 0.0
0.25905 300.0 0.0 15.100999999999999 0.0
0.27575 300.0 0.0 15.264000000000001 0.0
0.29289 300.0 0.0 15.419 0.0
0.31046 300.0 0.0 15.569 0.0
0.32844 300.0 0.0 15.714 0.0
0.34683 300.0 0.0 15.855 0.0
0.36561 300.0 0.0 15.993 0.0
0.38477 300.0 0.0 16.128 0.0
0.4043 300.0 0.0 16.26 0.0
0.42419 300.0 0.0 16.389 0.0
0.44443 300.0 0.0 16.515 0.0
0.465 300.0 0.0 16.637 0.0
0.4859 300.0 0.0 16.756 0.0
0.5071 300.0 0.0 16.872 0.0
0.5286 300.0 0.0 16.985 0.0
0.55039 300.0 0.0 17.094 0.0
0.57244 300.0 0.0 17.2 0.0
0.59476 300.0 0.0 17.302 0.0
0.61732 300.0 0.0 17.4 0.0
0.6401 300.0 0.0 17.494 0.0
0.66311 300.0 0.0 17.585 0.0
0.68632 300.0 0.0 17.672 0.0
0.70972 300.0 0.0 17.756 0.0
0.73329 300.0 0.0 17.835 0.0
0.75702 300.0 0.0 17.910999999999998 0.0
0.7809 300.0 0.0 17.980999999999998 0.0
0.80491 300.0 0.0 18.045 0.0
0.82904 300.0 0.0 18.102999999999998 0.0
0.85327 300.0 0.0 18.154 0.0
0.87759 300.0 0.0 18.198 0.0
0.90198 300.0 0.0 18.235 0.0
0.92644 300.0 0.0 18.264 0.0
0.95093 300.0 0.0 18.285 0.0
0.97546 300.0 0.0 18.297 0.0
1.0 300.0 0.0 18.301 0.0
