"density","pressure","rhoadv_0","temp","theta","x_velocity","y_velocity","z_velocity","arc_length","Points:0","Points:1","Points:2"
1.0003,81134,0,282.6,300,0.48036,0,0.00013299,0,0.1,0.5,0
1.0003,81134,0,282.6,300,0.65723,0,0.00039277,0.015873,0.1,0.5,0.015873
1.0003,81134,0,282.6,300,0.71214,0,0.00064302,0.031746,0.1,0.5,0.031746
1.0003,81134,0,282.6,300,0.74827,0,0.00088576,0.047619,0.1,0.5,0.047619
1.0003,81134,0,282.6,300,0.77628,0,0.0011189,0.063492,0.1,0.5,0.063492
1.0003,81134,0,282.6,300,0.79933,0,0.0013397,0.079365,0.1,0.5,0.079365
1.0003,81134,0,282.6,300,0.81893,0,0.0015449,0.095238,0.1,0.5,0.095238
1.0003,81134,0,282.6,300,0.83599,0,0.001731,0.11111,0.1,0.5,0.11111
1.0003,81134,0,282.6,300,0.85113,0,0.0018945,0.12698,0.1,0.5,0.12698
1.0003,81134,0,282.6,300,0.86474,0,0.0020318,0.14286,0.1,0.5,0.14286
1.0003,81134,0,282.6,300,0.8771,0,0.0021398,0.15873,0.1,0.5,0.15873
1.0003,81134,0,282.6,300,0.88842,0,0.002217,0.1746,0.1,0.5,0.1746
1.0003,81134,0,282.6,300,0.89888,0,0.0022631,0.19048,0.1,0.5,0.19048
1.0003,81134,0,282.6,300,0.90862,0,0.0022799,0.20635,0.1,0.5,0.20635
1.0003,81134,0,282.61,300,0.91774,0,0.002271,0.22222,0.1,0.5,0.22222
1.0003,81134,0,282.61,300,0.92632,0,0.0022413,0.2381,0.1,0.5,0.2381
1.0003,81134,0,282.61,300,0.93442,0,0.0021977,0.25397,0.1,0.5,0.25397
1.0003,81135,0,282.61,300,0.94209,0,0.0021478,0.26984,0.1,0.5,0.26984
1.0003,81135,0,282.61,300,0.94939,0,0.0020998,0.28571,0.1,0.5,0.28571
1.0003,81135,0,282.61,300,0.95635,0,0.0020606,0.30159,0.1,0.5,0.30159
1.0003,81135,0,282.61,300,0.96302,0,0.0020353,0.31746,0.1,0.5,0.31746
1.0003,81135,0,282.61,300,0.96943,0,0.0020258,0.33333,0.1,0.5,0.33333
1.0003,81135,0,282.61,300,0.97558,0,0.0020309,0.34921,0.1,0.5,0.34921
1.0003,81135,0,282.61,300,0.9815,0,0.0020467,0.36508,0.1,0.5,0.36508
1.0003,81135,0,282.61,300,0.9872,0,0.0020671,0.38095,0.1,0.5,0.38095
1.0003,81135,0,282.61,300,0.99271,0,0.002085,0.39683,0.1,0.5,0.39683
1.0003,81135,0,282.61,300,0.99803,0,0.0020935,0.4127,0.1,0.5,0.4127
1.0003,81135,0,282.61,300,1.0032,0,0.0020869,0.42857,0.1,0.5,0.42857
1.0003,81135,0,282.61,300,1.0082,0,0.0020623,0.44444,0.1,0.5,0.44444
1.0003,81135,0,282.61,300,1.0131,0,0.0020206,0.46032,0.1,0.5,0.46032
1.0003,81135,0,282.61,300,1.0179,0,0.0019662,0.47619,0.1,0.5,0.47619
1.0003,81135,0,282.61,300,1.0225,0,0.0019064,0.49206,0.1,0.5,0.49206
1.0003,81135,0,282.61,300,1.027,0,0.0018488,0.50794,0.1,0.5,0.50794
1.0003,81135,0,282.61,300,1.0314,0,0.0017995,0.52381,0.1,0.5,0.52381
1.0003,81135,0,282.61,300,1.0356,0,0.0017611,0.53968,0.1,0.5,0.53968
1.0003,81135,0,282.61,300,1.0398,0,0.0017324,0.55556,0.1,0.5,0.55556
1.0003,81135,0,282.61,300,1.0439,0,0.0017092,0.57143,0.1,0.5,0.57143
1.0003,81135,0,282.61,300,1.0478,0,0.0016859,0.5873,0.1,0.5,0.5873
1.0003,81135,0,282.61,300,1.0517,0,0.0016568,0.60317,0.1,0.5,0.60317
1.0003,81135,0,282.61,300,1.0554,0,0.0016176,0.61905,0.1,0.5,0.61905
1.0003,81135,0,282.61,300,1.059,0,0.0015665,0.63492,0.1,0.5,0.63492
1.0003,81135,0,282.61,300,1.0625,0,0.0015046,0.65079,0.1,0.5,0.65079
1.0003,81135,0,282.61,300,1.0659,0,0.0014359,0.66667,0.1,0.5,0.66667
1.0003,81135,0,282.61,300,1.0691,0,0.0013662,0.68254,0.1,0.5,0.68254
1.0003,81135,0,282.61,300,1.0723,0,0.0013013,0.69841,0.1,0.5,0.69841
1.0003,81135,0,282.61,300,1.0753,0,0.0012445,0.71429,0.1,0.5,0.71429
1.0003,81135,0,282.61,300,1.0782,0,0.0011955,0.73016,0.1,0.5,0.73016
1.0003,81135,0,282.61,300,1.0809,0,0.0011499,0.74603,0.1,0.5,0.74603
1.0003,81135,0,282.61,300,1.0836,0,0.0011015,0.7619,0.1,0.5,0.7619
1.0003,81135,0,282.61,300,1.086,0,0.0010443,0.77778,0.1,0.5,0.77778
1.0003,81135,0,282.61,300,1.0884,0,0.00097632,0.79365,0.1,0.5,0.79365
1.0003,81135,0,282.61,300,1.0906,0,0.00089974,0.80952,0.1,0.5,0.80952
1.0003,81135,0,282.61,300,1.0927,0,0.00082033,0.8254,0.1,0.5,0.8254
1.0003,81135,0,282.61,300,1.0945,0,0.00074432,0.84127,0.1,0.5,0.84127
1.0003,81135,0,282.61,300,1.0963,0,0.00067532,0.85714,0.1,0.5,0.85714
1.0003,81135,0,282.61,300,1.0979,0,0.00061267,0.87302,0.1,0.5,0.87302
1.0003,81135,0,282.61,300,1.0993,0,0.00055202,0.88889,0.1,0.5,0.88889
1.0003,81135,0,282.61,300,1.1005,0,0.00048783,0.90476,0.1,0.5,0.90476
1.0003,81135,0,282.61,300,1.1016,0,0.00041649,0.92063,0.1,0.5,0.92063
1.0003,81135,0,282.61,300,1.1025,0,0.00033814,0.93651,0.1,0.5,0.93651
1.0003,81135,0,282.61,300,1.1033,0,0.0002565,0.95238,0.1,0.5,0.95238
1.0003,81135,0,282.61,300,1.1038,0,0.00017666,0.96825,0.1,0.5,0.96825
1.0003,81135,0,282.61,300,1.1042,0,0.00010221,0.98413,0.1,0.5,0.98413
1.0003,81135,0,282.61,300,1.1043,0,3.3298e-05,1,0.1,0.5,1
