"density","pressure","rhoadv_0","temp","theta","x_velocity","y_velocity","z_velocity","arc_length","Points:0","Points:1","Points:2"
1,81097,0,282.57,300,0.46585,0,8.1635e-39,0,5,0.5,0
1,81097,0,282.57,300,0.66902,0,1.3171e-37,0.015873,5,0.5,0.015873
1,81097,0,282.57,300,0.72664,0,6.3899e-37,0.031746,5,0.5,0.031746
1,81097,0,282.57,300,0.76288,0,1.4837e-36,0.047619,5,0.5,0.047619
1,81097,0,282.57,300,0.79091,0,3.5771e-36,0.063492,5,0.5,0.063492
1,81097,0,282.57,300,0.81395,0,3.8915e-36,0.079365,5,0.5,0.079365
1,81097,0,282.57,300,0.83355,0,2.2336e-36,0.095238,5,0.5,0.095238
1,81097,0,282.57,300,0.85061,0,-2.4622e-38,0.11111,5,0.5,0.11111
1,81097,0,282.57,300,0.86575,0,-6.3885e-37,0.12698,5,0.5,0.12698
1,81097,0,282.57,300,0.87935,0,5.5219e-37,0.14286,5,0.5,0.14286
1,81097,0,282.57,300,0.89171,0,8.0704e-37,0.15873,5,0.5,0.15873
1,81097,0,282.57,300,0.90303,0,1.4639e-36,0.1746,5,0.5,0.1746
1,81097,0,282.57,300,0.9135,0,2.5393e-36,0.19048,5,0.5,0.19048
1,81097,0,282.57,300,0.92325,0,3.9005e-36,0.20635,5,0.5,0.20635
1,81097,0,282.57,300,0.93238,0,8.4177e-36,0.22222,5,0.5,0.22222
1,81097,0,282.57,300,0.94097,0,8.6145e-36,0.2381,5,0.5,0.2381
1,81097,0,282.57,300,0.94909,0,4.3311e-36,0.25397,5,0.5,0.25397
1,81097,0,282.57,300,0.95677,0,3.4203e-36,0.26984,5,0.5,0.26984
1,81097,0,282.57,300,0.96408,0,4.3447e-36,0.28571,5,0.5,0.28571
1,81097,0,282.57,300,0.97106,0,7.4846e-36,0.30159,5,0.5,0.30159
1,81097,0,282.57,300,0.97774,0,6.9941e-36,0.31746,5,0.5,0.31746
1,81097,0,282.57,300,0.98416,0,5.2363e-36,0.33333,5,0.5,0.33333
1,81097,0,282.57,300,0.99032,0,7.3171e-36,0.34921,5,0.5,0.34921
1,81097,0,282.57,300,0.99624,0,6.349e-36,0.36508,5,0.5,0.36508
1,81097,0,282.57,300,1.0019,0,3.9788e-36,0.38095,5,0.5,0.38095
1,81097,0,282.57,300,1.0075,0,5.0373e-36,0.39683,5,0.5,0.39683
1,81097,0,282.57,300,1.0128,0,4.2618e-36,0.4127,5,0.5,0.4127
1,81097,0,282.57,300,1.018,0,2.6991e-36,0.42857,5,0.5,0.42857
1,81097,0,282.57,300,1.023,0,3.5743e-36,0.44444,5,0.5,0.44444
1,81097,0,282.57,300,1.0279,0,3.3654e-36,0.46032,5,0.5,0.46032
1,81097,0,282.57,300,1.0327,0,2.7427e-36,0.47619,5,0.5,0.47619
1,81097,0,282.57,300,1.0373,0,2.2576e-36,0.49206,5,0.5,0.49206
1,81097,0,282.57,300,1.0418,0,1.4944e-36,0.50794,5,0.5,0.50794
1,81097,0,282.57,300,1.0462,0,1.1956e-36,0.52381,5,0.5,0.52381
1,81097,0,282.57,300,1.0504,0,8.3747e-37,0.53968,5,0.5,0.53968
1,81097,0,282.57,300,1.0546,0,6.1167e-37,0.55556,5,0.5,0.55556
1,81097,0,282.57,300,1.0587,0,4.028e-37,0.57143,5,0.5,0.57143
1,81097,0,282.57,300,1.0626,0,2.7654e-37,0.5873,5,0.5,0.5873
1,81097,0,282.57,300,1.0665,0,1.6506e-37,0.60317,5,0.5,0.60317
1,81097,0,282.57,300,1.0702,0,1.1314e-37,0.61905,5,0.5,0.61905
1,81097,0,282.57,300,1.0739,0,5.457e-38,0.63492,5,0.5,0.63492
1,81097,0,282.57,300,1.0774,0,3.1343e-38,0.65079,5,0.5,0.65079
1,81097,0,282.57,300,1.0807,0,1.6706e-38,0.66667,5,0.5,0.66667
1,81097,0,282.57,300,1.084,0,-2.7937e-39,0.68254,5,0.5,0.68254
1,81097,0,282.57,300,1.0871,0,-1.6875e-38,0.69841,5,0.5,0.69841
1,81097,0,282.57,300,1.0902,0,-1.8992e-38,0.71429,5,0.5,0.71429
1,81097,0,282.57,300,1.093,0,-1.9176e-38,0.73016,5,0.5,0.73016
1,81097,0,282.57,300,1.0958,0,-1.3316e-38,0.74603,5,0.5,0.74603
1,81097,0,282.57,300,1.0984,0,-1.4564e-38,0.7619,5,0.5,0.7619
1,81097,0,282.57,300,1.1009,0,-1.3003e-38,0.77778,5,0.5,0.77778
1,81097,0,282.57,300,1.1033,0,-9.1836e-39,0.79365,5,0.5,0.79365
1,81097,0,282.57,300,1.1055,0,-6.7096e-39,0.80952,5,0.5,0.80952
1,81097,0,282.57,300,1.1075,0,-5.1724e-39,0.8254,5,0.5,0.8254
1,81097,0,282.57,300,1.1094,0,-4.2804e-39,0.84127,5,0.5,0.84127
1,81097,0,282.57,300,1.1112,0,-2.6979e-39,0.85714,5,0.5,0.85714
1,81097,0,282.57,300,1.1128,0,-1.6028e-39,0.87302,5,0.5,0.87302
1,81097,0,282.57,300,1.1142,0,-1.0694e-39,0.88889,5,0.5,0.88889
1,81097,0,282.57,300,1.1154,0,-7.4975e-40,0.90476,5,0.5,0.90476
1,81097,0,282.57,300,1.1165,0,-3.8533e-40,0.92063,5,0.5,0.92063
1,81097,0,282.57,300,1.1174,0,-2.3096e-40,0.93651,5,0.5,0.93651
1,81097,0,282.57,300,1.1181,0,-1.7267e-40,0.95238,5,0.5,0.95238
1,81097,0,282.57,300,1.1187,0,-6.7483e-41,0.96825,5,0.5,0.96825
1,81097,0,282.57,300,1.1191,0,-7.5678e-42,0.98413,5,0.5,0.98413
1,81097,0,282.57,300,1.1192,0,3.6078e-42,1,5,0.5,1
